;temperature_in;temperature;humidity;gas;cenario
0;32;23;57;117;1
1;32;23;57;97;1
2;32;23;58;117;1
3;32;23;58;97;1
6;32;23;58;127;1
8;32;23;58;107;1
10;32;23;58;87;1
13;33;23;58;97;1
14;33;23;58;117;1
16;33;23;58;107;1
18;33;23;58;127;1
21;33;23;58;87;1
29;33;23;58;78;1
45;33;23;58;68;1
64;33;23;57;117;1
65;33;23;57;97;1
66;33;23;57;87;1
67;34;23;57;97;1
68;34;23;57;78;1
69;34;23;57;87;1
70;34;23;57;107;1
72;34;23;57;117;1
84;34;23;57;127;1
113;34;23;57;68;1
132;34;23;56;107;1
133;34;23;56;97;1
143;34;23;56;78;1
148;34;23;56;117;1
151;34;23;56;87;1
200;34;23;55;97;1
202;34;23;55;87;1
206;34;23;55;107;1
210;34;23;55;78;1
217;34;23;55;68;1
266;34;23;55;117;1
292;34;23;54;107;1
293;34;23;54;97;1
297;34;23;54;87;1
309;34;23;54;78;1
314;34;23;54;117;1
340;34;23;54;136;1
345;34;23;54;68;1
448;34;23;55;127;1
521;33;23;54;97;1
522;33;23;54;87;1
528;33;23;54;107;1
533;33;23;54;68;1
534;33;23;54;117;1
543;33;23;54;78;1
571;33;23;54;127;1
574;33;23;53;97;1
575;33;23;53;107;1
577;33;23;53;87;1
590;33;23;53;117;1
609;33;23;53;68;1
661;33;23;53;78;1
672;33;22;53;107;1
673;33;22;53;87;1
692;33;22;53;117;1
693;33;22;53;78;1
696;33;22;53;97;1
729;33;22;53;68;1
794;33;22;52;107;1
795;33;22;52;97;1
797;33;22;52;87;1
800;33;22;52;78;1
818;33;22;52;117;1
821;33;22;52;68;1
829;32;22;53;87;1
832;32;22;53;97;1
834;32;22;53;78;1
836;32;22;53;107;1
844;32;22;52;117;1
845;32;22;52;68;1
846;32;22;52;107;1
847;32;22;52;87;1
848;32;22;52;97;1
850;32;22;53;127;1
863;32;22;52;78;1
878;32;22;52;127;1
1110;31;22;52;107;1
1117;31;22;52;97;1
1119;31;22;52;78;1
1121;31;22;52;87;1
1132;31;22;52;117;1
1179;31;22;52;68;1
1200;31;22;52;127;1
1364;30;22;52;87;1
1374;30;22;52;107;1
1376;30;22;52;136;1
1377;30;22;52;97;1
1382;30;22;52;117;1
1402;30;22;52;78;1
1415;30;22;52;68;1
1472;30;22;52;127;1
1600;30;21;52;107;1
1601;30;21;52;87;1
1604;30;21;52;97;1
1616;30;21;52;117;1
1639;30;21;52;68;1
1660;29;21;52;107;1
1661;29;21;52;97;1
1667;29;21;52;87;1
1672;29;21;52;78;1
1680;29;21;52;117;1
1743;29;21;52;68;1
1788;29;21;51;107;1
1789;29;21;51;97;1
1791;29;21;51;78;1
1825;29;21;51;87;1
1920;25;21;51;175;0
1921;25;21;51;127;0
1922;25;22;69;156;1
1923;25;22;69;127;1
1925;25;22;69;136;1
1930;25;22;69;146;1
1932;25;22;70;156;1
1933;25;22;70;127;1
1936;25;22;70;146;1
1938;25;22;71;146;1
1939;25;22;71;127;1
1940;25;22;71;156;1
1946;24;22;71;146;1
1951;25;22;71;136;1
1952;25;22;72;156;1
1953;25;22;72;117;1
1954;24;22;72;166;1
1955;24;22;72;127;1
1957;24;22;72;146;1
1958;24;22;72;322;1
1959;24;22;72;224;1
1960;24;22;72;244;1
1961;24;22;72;234;1
1962;24;22;73;234;1
1963;24;22;73;224;1
1964;25;22;73;244;1
1965;25;22;73;215;1
1967;24;22;73;205;1
1971;25;22;73;205;1
1972;24;22;73;244;1
1973;25;22;73;224;1
1974;24;22;73;254;1
1978;25;22;74;244;1
1979;25;22;74;224;1
1980;25;22;74;234;1
1981;24;22;74;244;1
1983;24;22;74;224;1
1984;24;22;74;234;1
1985;24;22;74;215;1
1989;25;22;74;215;1
2001;24;22;74;205;1
2017;24;22;73;215;1
2024;25;22;73;263;1
2028;24;23;73;254;1
2029;24;23;73;215;1
2030;25;22;72;244;1
2031;24;22;72;215;1
2033;25;22;72;205;1
2034;25;22;72;234;1
2038;24;22;71;234;1
2039;24;22;71;205;1
2040;25;22;71;234;1
2041;24;22;71;215;1
2042;24;22;71;254;1
2044;25;22;70;234;1
2045;24;22;70;205;1
2046;24;22;70;234;1
2047;24;22;70;215;1
2048;24;22;70;244;1
2052;24;22;70;254;1
2054;24;22;69;244;1
2055;24;22;69;224;1
2056;24;22;69;234;1
2057;24;22;69;205;1
2061;24;22;69;215;1
2062;24;22;68;234;1
2063;24;22;68;205;1
2064;24;22;68;244;1
2065;24;22;68;215;1
2068;24;22;67;234;1
2069;24;22;67;205;1
2071;24;22;67;215;1
2076;24;22;66;234;1
2077;24;22;66;195;1
2079;24;22;66;205;1
2086;24;22;66;244;1
2087;24;22;66;215;1
2088;24;22;66;263;1
2093;24;22;66;224;1
2096;24;22;65;234;1
2097;24;22;65;205;1
2098;24;22;65;244;1
2099;24;22;65;224;1
2101;24;22;65;195;1
2103;24;22;65;215;1
2106;24;22;64;224;1
2107;24;22;64;205;1
2109;24;22;64;234;1
2111;24;22;64;244;1
2113;24;22;64;215;1
2119;24;22;64;195;1
2126;24;22;63;215;1
2127;24;22;63;205;1
2128;24;22;63;224;1
2129;24;22;63;195;1
2136;24;22;63;244;1
2142;24;22;62;224;1
2145;24;22;62;205;1
2147;24;22;62;195;1
2156;24;22;62;215;1
2158;24;22;61;215;1
2159;24;22;61;205;1
2166;24;22;61;234;1
2168;24;22;61;224;1
2174;24;22;61;254;1
2176;24;22;60;224;1
2177;24;22;60;205;1
2178;24;22;60;215;1
2182;24;22;60;234;1
2200;24;22;59;224;1
2201;24;22;59;205;1
2203;24;22;59;195;1
2206;24;22;59;215;1
2208;24;22;59;244;1
2218;24;22;59;234;1
2236;24;22;58;215;1
2237;24;22;58;205;1
2238;24;22;58;224;1
2243;24;22;58;195;1
2247;24;22;58;234;1
2260;24;22;57;244;1
2261;24;22;57;224;1
2263;24;22;57;195;1
2266;24;22;57;215;1
2267;24;22;57;205;1
2270;24;22;57;234;1
2296;24;22;56;224;1
2297;25;22;56;195;1
2298;24;22;56;215;1
2299;24;22;56;195;1
2301;25;22;56;205;1
2304;24;22;56;205;1
2305;25;22;56;215;1
2314;25;22;56;224;1
2326;25;22;56;234;1
2330;25;22;55;215;0
2331;24;22;55;224;0
2332;24;22;55;205;0
2333;25;22;55;224;0
2334;24;22;55;215;0
2335;25;22;55;205;0
2343;25;22;55;195;0
2345;25;22;55;234;0
2356;25;22;55;244;0
2361;25;22;55;185;0
2374;25;22;54;234;0
2375;25;22;54;224;0
2376;25;22;54;215;0
2377;25;22;54;195;0
2379;25;22;54;205;0
2424;25;22;53;215;0
2426;25;22;53;244;0
2427;25;22;53;205;0
2428;25;22;53;224;0
2431;25;22;53;195;0
2448;25;22;53;234;0
2456;25;22;53;254;0
2530;25;21;53;224;0
2531;25;21;53;205;0
2534;25;21;53;215;0
2535;25;21;53;195;0
2600;25;22;52;244;0
2601;25;22;52;195;0
2602;25;22;52;215;0
2606;25;22;52;234;0
2609;25;22;52;205;0
2610;25;22;52;224;0
2626;25;21;52;234;0
2627;25;21;52;195;0
2638;25;21;52;224;0
2648;25;21;52;215;0
2661;25;21;53;185;0
2710;25;21;53;234;0
2738;25;21;54;224;0
2739;25;21;54;205;0
2741;25;21;54;195;0
2744;25;21;54;215;0
2768;25;21;53;244;0
2890;25;21;54;234;0
2910;25;21;54;244;0
3024;25;21;53;254;0
3054;25;21;54;254;0
3055;25;21;54;185;0
